Month,DayOfWeek,WorkingDay,Gender,AM_PM,ServTime
1.0,4.0,1.0,1.0,1.0,691.0
1.0,4.0,1.0,1.0,1.0,614.0
1.0,4.0,1.0,1.0,1.0,559.0
1.0,4.0,1.0,1.0,0.0,749.0
1.0,4.0,1.0,1.0,1.0,450.0
1.0,4.0,1.0,1.0,0.0,744.0
1.0,4.0,1.0,1.0,0.0,295.0
1.0,4.0,1.0,1.0,1.0,1187.0
1.0,4.0,1.0,1.0,0.0,1461.0
1.0,4.0,1.0,1.0,1.0,403.0
1.0,4.0,1.0,1.0,0.0,572.0
1.0,4.0,1.0,1.0,0.0,1108.0
1.0,4.0,1.0,1.0,0.0,656.0
1.0,4.0,1.0,1.0,0.0,452.0
1.0,4.0,1.0,1.0,1.0,500.0
1.0,4.0,1.0,1.0,1.0,1291.0
1.0,4.0,1.0,1.0,1.0,1264.0
1.0,4.0,1.0,1.0,1.0,1231.0
1.0,4.0,1.0,2.0,0.0,984.0
1.0,4.0,1.0,2.0,1.0,1324.0
1.0,4.0,1.0,2.0,1.0,837.0
1.0,4.0,1.0,2.0,1.0,1335.0
1.0,4.0,1.0,2.0,1.0,1223.0
1.0,4.0,1.0,2.0,1.0,1118.0
1.0,4.0,1.0,2.0,1.0,2035.0
1.0,4.0,1.0,2.0,1.0,1332.0
1.0,4.0,1.0,2.0,0.0,793.0
1.0,4.0,1.0,2.0,0.0,660.0
1.0,4.0,1.0,2.0,0.0,526.0
1.0,4.0,1.0,2.0,1.0,1402.0
1.0,7.0,0.0,1.0,1.0,690.0
1.0,7.0,0.0,1.0,0.0,960.0
1.0,7.0,0.0,1.0,1.0,516.0
1.0,7.0,0.0,1.0,0.0,999.0
1.0,7.0,0.0,1.0,0.0,656.0
1.0,7.0,0.0,1.0,1.0,1217.0
1.0,7.0,0.0,1.0,1.0,659.0
1.0,7.0,0.0,1.0,1.0,580.0
1.0,7.0,0.0,1.0,1.0,839.0
1.0,7.0,0.0,1.0,0.0,959.0
1.0,7.0,0.0,1.0,0.0,1360.0
1.0,7.0,0.0,1.0,0.0,470.0
1.0,7.0,0.0,1.0,0.0,630.0
1.0,7.0,0.0,1.0,0.0,578.0
1.0,7.0,0.0,1.0,0.0,347.0
1.0,7.0,0.0,1.0,1.0,804.0
1.0,7.0,0.0,1.0,1.0,859.0
1.0,7.0,0.0,1.0,1.0,997.0
1.0,7.0,0.0,1.0,1.0,609.0
1.0,7.0,0.0,1.0,0.0,1920.0
1.0,7.0,0.0,2.0,0.0,1013.0
1.0,7.0,0.0,2.0,1.0,655.0
1.0,7.0,0.0,2.0,0.0,613.0
1.0,7.0,0.0,2.0,1.0,762.0
1.0,7.0,0.0,2.0,0.0,781.0
1.0,7.0,0.0,2.0,1.0,1110.0
1.0,7.0,0.0,2.0,1.0,142.0
1.0,7.0,0.0,2.0,1.0,522.0
1.0,7.0,0.0,2.0,1.0,771.0
1.0,7.0,0.0,2.0,0.0,780.0
1.0,7.0,0.0,2.0,1.0,1355.0
1.0,7.0,0.0,2.0,0.0,494.0
1.0,7.0,0.0,2.0,0.0,544.0
1.0,7.0,0.0,2.0,1.0,1225.0
1.0,7.0,0.0,2.0,0.0,637.0
1.0,7.0,0.0,2.0,0.0,410.0
1.0,7.0,0.0,2.0,1.0,806.0
1.0,7.0,0.0,2.0,1.0,559.0
1.0,4.0,1.0,1.0,1.0,1530.0
1.0,4.0,1.0,1.0,0.0,710.0
1.0,4.0,1.0,1.0,1.0,593.0
1.0,4.0,1.0,1.0,1.0,675.0
1.0,4.0,1.0,1.0,0.0,746.0
1.0,4.0,1.0,1.0,1.0,652.0
1.0,4.0,1.0,1.0,1.0,541.0
1.0,4.0,1.0,1.0,1.0,86.0
1.0,4.0,1.0,1.0,1.0,906.0
1.0,4.0,1.0,1.0,1.0,947.0
1.0,4.0,1.0,1.0,0.0,954.0
1.0,4.0,1.0,1.0,1.0,956.0
1.0,4.0,1.0,1.0,0.0,1029.0
1.0,4.0,1.0,1.0,0.0,739.0
1.0,4.0,1.0,1.0,0.0,636.0
1.0,4.0,1.0,1.0,1.0,1161.0
1.0,4.0,1.0,1.0,0.0,1121.0
1.0,4.0,1.0,2.0,1.0,1317.0
1.0,4.0,1.0,2.0,1.0,715.0
1.0,4.0,1.0,2.0,0.0,474.0
1.0,4.0,1.0,2.0,1.0,530.0
1.0,4.0,1.0,2.0,1.0,1686.0
1.0,4.0,1.0,2.0,1.0,813.0
1.0,4.0,1.0,2.0,0.0,506.0
1.0,4.0,1.0,2.0,1.0,1405.0
1.0,4.0,1.0,2.0,0.0,899.0
1.0,4.0,1.0,2.0,1.0,1515.0
1.0,4.0,1.0,2.0,1.0,449.0
1.0,4.0,1.0,2.0,1.0,692.0
1.0,4.0,1.0,2.0,1.0,345.0
1.0,4.0,1.0,2.0,0.0,179.0
1.0,4.0,1.0,2.0,1.0,611.0
1.0,4.0,1.0,2.0,1.0,1473.0
1.0,7.0,0.0,1.0,1.0,551.0
1.0,7.0,0.0,1.0,1.0,816.0
1.0,7.0,0.0,1.0,0.0,396.0
1.0,7.0,0.0,1.0,0.0,1108.0
1.0,7.0,0.0,1.0,1.0,1307.0
1.0,7.0,0.0,1.0,0.0,586.0
1.0,7.0,0.0,1.0,0.0,582.0
1.0,7.0,0.0,1.0,1.0,523.0
1.0,7.0,0.0,1.0,1.0,479.0
1.0,7.0,0.0,1.0,0.0,622.0
1.0,7.0,0.0,1.0,1.0,667.0
1.0,7.0,0.0,1.0,0.0,697.0
1.0,7.0,0.0,1.0,1.0,1427.0
1.0,7.0,0.0,1.0,1.0,962.0
1.0,7.0,0.0,1.0,1.0,646.0
1.0,7.0,0.0,1.0,0.0,34.0
1.0,7.0,0.0,1.0,1.0,967.0
1.0,7.0,0.0,1.0,1.0,706.0
1.0,7.0,0.0,1.0,1.0,843.0
1.0,7.0,0.0,1.0,0.0,995.0
1.0,7.0,0.0,2.0,0.0,673.0
1.0,7.0,0.0,2.0,1.0,1629.0
1.0,7.0,0.0,2.0,1.0,593.0
1.0,7.0,0.0,2.0,1.0,1109.0
1.0,7.0,0.0,2.0,1.0,881.0
1.0,7.0,0.0,2.0,0.0,17.0
